title,abstract
An iris segmentation scheme based on bendlets,"Due to the effect of agents such as ambiance, transition channel, and other agents, images are polluted by noise during collection, transition, and compaction, leading to decrease image quality. Noise can decrease the accuracy of the next stages of image processing systems. Therefore, one of the vital stages in the novel processing systems is denoising. This article offers a novel image denoising approach using bendlets. Other multi-scale transformations (such as wavelets, curvelets, and shearlets) cannot recognize properties such as location, direction, and curvature of discontinuities well in piecewise stable images. To solve this problem, bendlets are suggested in this article. Bendlets differ from other multi-scale transformations in that an additional bending parameter is utilized for recognizing the curvature of discontinuities. Bendlets need a fewer number of coefficients to identify curvatures than other multi-scale transformations. Furthermore, they help to make the edges more obvious. The suggested approach is utilized on the UBIRIS.V2 database. It earns better accuracy and stability than other multi-scale transformations."
A sliding template-based approach for position-based whole slide microscopy image stitching for slightly unaligned stages,"The work in this study proposes to deal with microscope images with slightly misaligned stages. A sliding template-based method for position-based whole slide microscopy (WSM) image stitching is proposed to find the translational properties of the consecutive images. The mechanical stability of the stage is one of the major issues, along with flat field disturbances that make the image stitching process difficult. This calls for further research in the field of image stitching. The proposed method employs a sliding template (a small image) to find the translational offset with the adjacent images, which is fast enough to avoid the complicated feature detection and matching algorithms to measure the distances between the features of all the images. The results of the proposed work show comparably accurate stitching while being more resistant to mechanical instability as well as faster than other methods. For slightly misaligned stages, position-based WSM image stitching using a sliding template can be a viable solution."
YOLO glass: video-based smart object detection using squeeze and attention YOLO network,"Visually impairments or blindness people need guidance in order to avoid collision risks with outdoor obstacles. Recently, technology has been proving its presence in all aspects of human life, and new devices provide assistance to humans on a daily basis. However, due to real-time dynamics or a lack of specialized knowledge, object detection confronts a reliability difficulty. To overcome the challenge, YOLO Glass a Video-based Smart object detection model has been proposed for visually impaired person to navigate effectively in indoor and outdoor environments. Initially the captured video is converted into key frames and pre-processed using Correlation Fusion-based disparity approach. The pre-processed images were augmented to prevent overfitting of the trained model. The proposed method uses an obstacle detection system based on a Squeeze and Attendant Block YOLO Network model (SAB-YOLO). A proposed system assists visually impaired users in detecting multiple objects and their locations relative to their line of sight, and alerts them by providing audio messages via headphones. The system assists blind and visually impaired people in managing their daily tasks and navigating their surroundings. The experimental results show that the proposed system improves accuracy by 98.99%, proving that it can accurately identify objects. The detection accuracy of the proposed method is 5.15%, 7.15% and 9.7% better that existing YOLO v6, YOLO v5 and YOLO v3, respectively."
Oxidation and Hot Corrosion Studies of Laser Hybrid Welded IN617 and P91 Alloys,"The present investigation aimed to evaluate the effect of similar laser hybrid welds on the oxidation and hot corrosion behavior of IN 617 and P91 alloys. The oxidation studies were carried out on the base and welded IN617 and P91 alloys in air in the temperature range 600–800 °C for 100 h. At the same time, hot corrosion tests with or without synthetic coal ash coatings were conducted in a flue gas environment for 1000 h. The oxidation and hot corrosion kinetics revealed that the change in mass is lower for the base and welded IN 617 than the P91 alloys at all the exposure temperatures. The post-characterization of oxide scales formed on the surface of the base and welded alloys later to oxidation and hot corrosion, was done using XRD and SEM-EDS techniques. The oxide phase were identified as NiO and Cr2O3 on welded IN617 alloys at 600–700 °C and 800 °C, respectively, whereas as Fe2O3 and Fe2O3–Fe3O4 on welded P91 alloy at 700 °C and 800 °C, respectively. In the case of coal ash-coated samples, additional Al2O3 & SiO2 phases were identified for both base and welded IN 617 and P91 alloys. The non-protective Fe2O3 in the outer scale allowed oxygen to pass through, thus yielded into much thicker oxide scales and higher mass gains for P91 alloys, while protective NiO or Cr2O3 oxide scales yielded into low scale thicknesses and mass gains for IN617 alloys."
Metalle und Toxine,"Die Aurikulomedizin bietet mit der dynamischen Pulstastung (RAC) und ihren frequenziellen Techniken die Möglichkeit einer unspezifischen, nicht verdachtsorientierten Diagnose und kann daher Faktoren aufdecken, die sonst verborgen bleiben würden. Im Artikel soll vor allem auf Metalle und Toxine als Ursachen für Krankheiten eingegangen werden. Weiters soll gezeigt werden, wie man gefundenen Akupunkturpunkten durch die Anwendung der Zwei-Frequenz-Technik Ursachen zuordnen und dadurch gezielt schädigende Noxen ausschalten kann. Damit ist es möglich, eine optimale Therapie einzuleiten, laufend zu überwachen und anzupassen. Die beste Therapie stellt aber nach wie vor eine Prophylaxe durch Vermeidung dar, die zumindest für Lebensmittel, Medikamente und Impfungen sowie für zahnärztliche Werkstoffe durch die vorherige Testung möglich ist."
Das Resonanzprinzip Als Grundlage Der Frequenzmedizin — Ein Ausflug In Die Quantenphysik,"Resonanz ist ein Begriff, der in unserem Sprachgebrauch so häufig verwendet wird, dass er fast inflationär wirkt. Dabei steckt ein so vielschichtiges Phänomen dahinter, das es wert ist, genau „beleuchtet“ zu werden. Denn immerhin liefert es uns die Grundlage für unsere Frequenzmedizin, zu der neben der frequentiellen Akupunktur ja auch die Homöopathie und die Blütenessenzen zählen. Mit den Erklärungsmodellen der klassischen Physik lässt sich das Resonanzprinzip aber nicht vollständig erklären. Hier also ein kleiner Einblick in die Welt der Quantenphysik."
(Erweiterte) Schumannfrequenzen und Immunologie,"Mithilfe der Schumannfrequenzen gelingt es, die Abwehrenergie zu stärken und auf vegetative und endokrinologische Zentren positiven Einfluss zu nehmen. Am Ohr hat sich dabei die Technik über die Quintverstärkung der Frequenzen bewährt, während bei der Körperakupunktur das System der tendinomuskulären Meridiane von Belang ist."
Race to Top or Race to Bottom Approach: Disaggregated Effect of Fiscal Decentralization and Its Implications for Consumption-Based Carbon Emissions,"Fiscal decentralization is a growing area of research, particularly for reducing carbon emissions and promoting environmental sustainability. However, its contribution to decreasing consumption-based carbon emissions remains relatively unexplored. Unlike previous studies, the current study explores the effect of expenditure and revenue decentralization on consumption-based carbon emission along with control variables such as exports, imports, human capital, globalization, renewable energy, and economic growth for BRICS economies from 1990 to 2020. The quantile regressions via method of moments test is employed to investigate the long-run relationship among the study variables. To enhance the robustness of the analysis this study also utilizes bootstrapped quantile regression and simple quantile regression tests. The results of quantile regressions via method of moments reveal that revenue decentralization increases consumption-based carbon emissions while expenditure decentralization reduces it. Moreover, it is worth noting that exports reduce while imports increases consumption-based carbon emissions in BRICS nations. Remarkably human capital, globalization, and renewable energy consumption have played pivotal roles in promoting environmental sustainability. However, the rapid pace of economic growth hurts the environment. This study holds substantial policy implications as it underscores the potential effectiveness of government measures aimed at improving environmental quality when these responsibilities are decentralized to the local population of the given state."
Modular geodesics and wedge domains in non-compactly causal symmetric spaces,"We continue our investigation of the interplay between causal structures on symmetric spaces and geometric aspects of Algebraic Quantum Field Theory. We adopt the perspective that the geometric implementation of the modular group is given by the flow generated by an Euler element of the Lie algebra (an element defining a 3-grading). Since any Euler element of a semisimple Lie algebra specifies a canonical non-compactly causal symmetric space \(M = G/H\), we turn in this paper to the geometry of this flow. Our main results concern the positivity region W of the flow (the corresponding wedge region): If G has trivial center, then W is connected, it coincides with the so-called observer domain, specified by a trajectory of the modular flow which at the same time is a causal geodesic. It can also be characterized in terms of a geometric KMS condition, and it has a natural structure of an equivariant fiber bundle over a Riemannian symmetric space that exhibits it as a real form of the crown domain of G/K. Among the tools that we need for these results are two observations of independent interest: a polar decomposition of the positivity domain and a convexity theorem for G-translates of open H-orbits in the minimal flag manifold specified by the 3-grading."
A non-isolated high step-up converter with TID controller for solar photovoltaic integrated with EV,"Due to environment concerns, Electric Vehicles (EV) are becoming more and more common in the automobile industry. Since rechargeable batteries of EV manage power, it is crucial to have a battery charger that is dependable, efficient, and affordable in order to provide the battery of the specific EV with the stable required output. Due to the expanding market for renewable energy combined with EV, converters have received a lot of attention recently. Because it reduces system losses and transformer winding losses, non-isolated DC/DC converters are suitable for EV applications. Other problems with the non-isolated DC/DC converter include inadequate voltage gain, a high duty cycle ratio, and the requirement for additional circuitry for better performance. To achieve reliable control of converters, a combination of an optimization technique with Tilt Integral Derivative (TID) controller is used in the Non-Isolated High Step-Up (NIHSU) DC/DC converter for Solar Photo Voltaic (SPV) integrated with EV Applications are proposed. The proposed system TID tuned by Dung Beetle Optimizer are executed in the MATLAB platform and compared with various approaches in terms of voltage regulation, efficiency. The proposed methodology improves closed-loop systems functionality and achieves significant voltage increase, greater power density and higher efficiency of 97.8%."
